dataset,model,auc_pr_mean,auc_pr_std,mcc_mean,mcc_std,macro_f1_mean,macro_f1_std,specificity_mean,specificity_std,pred_pos_rate_mean,pred_pos_rate_std,aurc_mean,aurc_std,eaurc_mean,eaurc_std,ece_after_mean,ece_after_std,ece_before_mean,ece_before_std,brier_mean,brier_std,sel_acc_70_mean,sel_acc_70_std,sel_acc_80_mean,sel_acc_80_std,sel_acc_90_mean,sel_acc_90_std,filt20_acc_mean,filt20_acc_std,filt20_risk_mean,filt20_risk_std,rc_violation_rate_mean,rc_violation_rate_std,rc_spearman_cov_risk_mean,rc_spearman_cov_risk_std,aurc_confidence_mean,aurc_confidence_std,eaurc_confidence_mean,eaurc_confidence_std,sel_conf_acc_80_mean,sel_conf_acc_80_std,filt20_acc_confidence_mean,filt20_acc_confidence_std,filt20_risk_confidence_mean,filt20_risk_confidence_std,rc_spearman_cov_risk_confidence_mean,rc_spearman_cov_risk_confidence_std,aurc_model_unc_mean,aurc_model_unc_std,rc_spearman_cov_risk_model_unc_mean,rc_spearman_cov_risk_model_unc_std
bitcoin_otc,gat,0.900310428070108,0.0031324568199092573,0.16582325521668653,0.013467455139857913,0.5825981685746837,0.006545679255184029,0.30331125827814526,0.01838469122618717,0.8447608342700136,0.00459217592377924,0.2146516489899636,0.01395229604773865,0.003773667224008783,0.01353587502075733,0.06361429752967972,0.008224899398716956,0.2194427317090959,0.06446263011561353,0.13497965205812815,0.003128745419652702,0.7507804834537507,0.0021994162886339844,0.7652384297198158,0.0019244248819071197,0.7777315296566076,0.0013487493649131461,0.765183450429352,0.0019248755668911785,0.2348165495706481,0.0019248755668911785,0.6140350877192983,0.024810764252159532,0.3704260651629072,0.18329559841692214,0.11427742547661612,0.0030697830556910364,-0.09660055628933868,0.0032849124982367917,0.8748146413798485,0.004722895581177614,0.8747853239656517,0.004724001645716544,0.12521467603434835,0.004724001645716544,0.9714285714285714,0.014733772888921352,0.3099574646060211,0.023867268840564296,-0.8050125313283208,0.1860061158576854
bitcoin_otc,gatrust,0.8962767475891044,0.005227213510535805,0.06608230240083464,0.03529590292687036,0.46537001360936686,0.01172592703253316,0.5373068432671074,0.11446208813081375,0.5432121893343325,0.07151141676271398,0.28455967954141653,0.02507636272758905,-0.1616748652319068,0.06435420473031987,0.07897317655179344,0.01185861018635775,0.23679566369468164,0.020568202399603556,0.14048316171381486,0.00021722166540784165,0.5670323789135671,0.05545899151903747,0.5524857566533989,0.019955609149235866,0.549843912591051,0.015548966363665215,0.5524590163934425,0.02006229933390668,0.44754098360655753,0.02006229933390668,0.14035087719298245,0.10814761408717502,0.9172932330827067,0.06752979240755629,0.20366215768316243,0.021622427826948846,-0.24257238709016096,0.0179166155408753,0.648950284866932,0.04868790447420154,0.6491022638563622,0.048699306793750556,0.3508977361436379,0.048699306793750556,0.9904761904761905,0.012420563101116671,0.46996053187850667,0.053656970693190566,0.05112781954887217,0.419494072112119
bitcoin_otc,gcn,0.9033683495061782,0.006407672643635665,0.12625237021090405,0.03598906404880127,0.5174506180038777,0.03963625435426676,0.5258278145695358,0.042218218411944904,0.6212688897214937,0.07838119139347298,0.3655976379038523,0.06600288845554438,-0.005827365218415703,0.01668502199571576,0.11067622820192789,0.010490652654252523,0.4121289337467971,0.05869731835410007,0.1305494639339425,0.0028303282962006274,0.5264472393185264,0.0925588452217336,0.5735581050495591,0.08101154791154996,0.6050641692681235,0.07202042033657154,0.5734582357533177,0.081030520171014,0.4265417642466824,0.081030520171014,0.456140350877193,0.06564311204866563,0.43458646616541347,0.07703985071620817,0.1696904439860566,0.03792290297600987,-0.2017345591362114,0.028593615783445547,0.7244205104191056,0.08140907163371498,0.7245120999219359,0.08133723185504682,0.2754879000780642,0.08133723185504682,0.9483709273182956,0.030083541028819365,0.5147563350018948,0.09186261284221835,-0.4355889724310777,0.0713436596825421
bitcoin_otc,guardian,0.8818242214789382,0.0029624677494863635,0.0,0.0,0.4619494002620704,0.0,0.0,0.0,1.0,0.0,0.1244511981813215,0.002961453316799204,-0.016987542920214708,0.002961453316799204,0.08651528489168188,1.036925564642243e-06,0.5833000892102496,0.00303299710605138,0.1289212365601767,2.9009429686412395e-07,0.8511283560788511,0.002532346724927012,0.8533520643096854,0.0015570075191804974,0.8559833506763788,0.0004495831216377382,0.8533177205308351,0.0015573721579438,0.14668227946916487,0.0015573721579438,0.5263157894736842,0.07443229275647871,0.6882205513784462,0.07873664042943829,0.12041167275692592,0.0025865627337210138,-0.02102706834461028,0.0025865627337210138,0.8432061187856084,0.0004811062204767724,0.843247462919594,0.0004812188917227946,0.15675253708040607,0.0004812188917227946,0.9433583959899748,0.019580977428195045,0.13711079581839572,0.0019184042524536529,0.22907268170426062,0.057607049217277766
bitcoin_otc,mc_dropout,0.9060883409236986,0.0075752414310820936,0.13065895311148812,0.023037616278445437,0.5182532162667735,0.03141100278021453,0.4935982339955843,0.19413301055305685,0.6531784688397652,0.15468420354318732,0.27697657733677805,0.05004328735733754,-0.0716558692724389,0.06795838577747441,0.07345707133618536,0.01926707023182406,0.2884667915054455,0.031184395586348987,0.1360839758369309,0.0023968150499962385,0.6149317634466148,0.1035049414538931,0.6206977288691173,0.11071958655736164,0.628650711064863,0.11370928031278228,0.620686963309914,0.11067159031019946,0.37931303669008604,0.11067159031019946,0.3859649122807018,0.19377826345942561,0.6375939849624059,0.28128207109604114,0.16259240026182623,0.03837164706106032,-0.18604004634739071,0.06330749997888317,0.737766331070007,0.10567709512017123,0.7377829820452769,0.1056960207776472,0.262217017954723,0.1056960207776472,0.9849624060150375,0.01718940170374166,0.42977146651054127,0.07120386243772125,-0.4270676691729323,0.6202674860070644
bitcoin_otc,node2vec_mlp,0.8997168984964453,0.0040874106881889465,0.10083980695345762,0.01564576350479897,0.47593025287857044,0.04037678155798625,0.585871964679911,0.09236346598355813,0.534782065692519,0.10382006429427479,0.4225769826560028,0.02489183633447155,-0.018349706490993527,0.08565540818393293,0.10931542105246606,0.0012510198704184824,0.3766934454117254,0.08891135808484614,0.13454794820356142,0.0017720194735108817,0.455980733208456,0.08608971559466227,0.47943494888004373,0.09247467827963754,0.5242455775234132,0.08363402743952669,0.479391100702576,0.09243497714535812,0.5206088992974239,0.09243497714535812,0.40350877192982454,0.16269506132448602,0.450125313283208,0.4560885701419977,0.21350829551314257,0.04290442612660472,-0.22741839363385377,0.03504567229946424,0.638960430812456,0.09570055708416998,0.6391100702576112,0.09572296939262061,0.36088992974238887,0.09572296939262061,0.9909774436090225,0.009589537077548376,0.5806488936505262,0.04200196806614284,-0.26416040100250626,0.5043259199303647
bitcoin_otc,ours,0.9145165324173029,0.002368264656724074,0.1596345678185675,0.024546563281364505,0.5283758064531497,0.01987780465326565,0.5854304635761581,0.027592935968211423,0.6059073310853004,0.03413094538829983,0.15322028667961762,0.014985301957578242,-0.2167060277952169,0.014801008453372719,0.04959256119222361,0.0072717027628899705,0.2111841494714639,0.024803144704475026,0.13502599505804935,0.00035109883213394415,0.8086700561948086,0.03734323336200472,0.7324592211035666,0.033799300169409956,0.6759625390218522,0.033596912529653404,0.732630757220921,0.03380721569638171,0.267369242779079,0.033807215696381704,0.03508771929824561,0.049621528504319126,0.9989974937343358,0.0014177579572663024,0.15322028667961762,0.014985301957578242,-0.2167060277952169,0.014801008453372719,0.7324592211035666,0.033799300169409956,0.732630757220921,0.03380721569638171,0.267369242779079,0.033807215696381704,0.9989974937343358,0.0014177579572663024,0.4505566465623257,0.00613626147951572,-0.7814536340852131,0.16344849365804023
bitcoin_otc,sage,0.8984609626442411,0.001958261776473257,0.19341833398865002,0.00491329592063126,0.5928112195215288,0.0015446873104272639,0.3836644591611474,0.015458844503321467,0.8051080304733359,0.008007141397783095,0.26224092017807393,0.006092167263655823,0.03444024576818253,0.006422672946385526,0.11251414702648309,0.006624188083598278,0.32905983881347006,0.12288124240897239,0.13506709281234308,0.00015480614541865946,0.7241994469717242,0.008840968115860378,0.7464294076328728,0.005969350870513684,0.7631633714880333,0.004730552097463029,0.7463700234192036,0.005970748844956429,0.25362997658079645,0.005970748844956429,0.7017543859649124,0.06564311204866566,0.031077694235588968,0.12724525760097036,0.1190006786466234,0.0009147781408817081,-0.10879999576326797,0.004136877564538349,0.8901116054007648,0.002280752235417516,0.8901639344262294,0.0023497138084765355,0.10983606557377068,0.0023497138084765355,0.7328320802005012,0.11697362363134833,0.3887116857977473,0.0032514607776906405,-0.9849624060150375,0.007468503471554545
bitcoin_otc,trustguard,0.8918361052366546,0.003782842729190756,0.06637836198860411,0.04233031079503849,0.4679343814717563,0.005699975209422171,0.5320088300220743,0.11364173231535966,0.5490820532034469,0.0617301997749762,0.3063510762224713,0.03147472118791609,-0.135512293329171,0.05782667177255761,0.08668078577032541,0.005387110614826236,0.2943931464770286,0.03034312007301112,0.14055421806961718,0.00048333104180496854,0.531977522076532,0.044127919146262656,0.5254038866775931,0.023381699793161938,0.5481096080471731,0.0032300927441755952,0.5252927400468382,0.023387175601075987,0.47470725995316165,0.023387175601075987,0.2280701754385965,0.08945648269461026,0.8731829573934836,0.09394451928499631,0.20268281995409732,0.01588885634768468,-0.239180549597545,0.013939864879022454,0.652228205728557,0.037257663799496764,0.652302888368462,0.03737611657439176,0.347697111631538,0.03737611657439176,0.9924812030075186,0.0032484915781493305,0.49334808934969204,0.06965427359754281,0.06165413533834585,0.5978472823232748
bitcoin_alpha,gat,0.8409787141008508,0.022576678071308774,0.02898234680614103,0.0409872279226452,0.4828222814592254,0.03456203302884719,0.11990407673860888,0.16956997150756503,0.9102634973281739,0.1269065791184259,0.14722513123876416,0.005950557787904499,-0.05933466238570606,0.06927570331214665,0.08930783874852598,0.0032006668930138066,0.32376371191592995,0.23787500525682628,0.13751214777536763,0.00015822279370420072,0.8680089485458612,0.0015233368736399671,0.8447898675877951,0.028470821439005412,0.8193634223723262,0.05547291266429555,0.844966597558166,0.028417705160087507,0.15503340244183392,0.028417705160087507,0.42105263157894735,0.11369720523522561,0.08822055137844607,0.4362273284321977,0.16984960012042685,0.011537884316122078,-0.03671019350404336,0.08597380939664483,0.8276338514680482,0.01623366278650238,0.8275742916378711,0.01623927220695381,0.1724257083621288,0.01623927220695381,-0.07167919799498747,0.5337199683982754,0.1374361804102914,0.021857617591458215,0.5157894736842105,0.51562211859302
bitcoin_alpha,gatrust,0.8322039432086715,0.004085585434967764,-0.05155744219498793,0.006616877433745236,0.37306407055623075,0.00948987764641501,0.5443645083932843,0.014111033927985357,0.396535839321909,0.018569099086603195,0.35244245099482097,0.0116551190541896,-0.23738618360993302,0.0057112549699594485,0.07724882722087521,0.0012560806238812278,0.3909875483310284,0.012927385975398466,0.1381627698543926,0.0001869113327127242,0.5300697460192131,0.02269339299064329,0.4782959124928037,0.017119270729705826,0.43987309384914547,0.014793528812254883,0.4784611840589725,0.017125186165341526,0.5215388159410276,0.017125186165341522,0.21052631578947367,0.042973504259354,0.9162907268170426,0.02117164118490517,0.3546045880261017,0.0120169494294908,-0.23522404657865234,0.006282783119464211,0.4741508347725964,0.015533376584032286,0.47431467403823985,0.015538744025837409,0.5256853259617601,0.015538744025837463,0.9137844611528823,0.024007879728978505,0.3745353329023439,0.020609522633460685,0.9794486215538846,0.003751034974209477
bitcoin_alpha,gcn,0.8723275085640526,0.02969702555756343,0.07786392161362764,0.057996042104644686,0.4832359707309284,0.017927556018085763,0.3944844124700233,0.2809800523319062,0.6965174129353233,0.2149403440520194,0.17653384001556569,0.03248834955467013,-0.15937918743975032,0.09661435681160528,0.08923612383540513,0.0017617601236281548,0.29325864574011684,0.030040513965787233,0.1365829764481293,0.001157500287984494,0.7693117515462561,0.07011129756532432,0.7284974093264248,0.10006585132678458,0.6944018012485929,0.1171044161453476,0.7286339553098363,0.09993781060666473,0.2713660446901638,0.09993781060666473,0.21052631578947367,0.1873171623163388,0.7949874686716791,0.2846208686796291,0.19023870984374994,0.013279281594955361,-0.14567431761156605,0.11599058704509604,0.7144502014968337,0.08024149797968615,0.7146970744068185,0.08026922482764041,0.28530292559318154,0.0802692248276404,0.5844611528822056,0.5823469932545671,0.17039872047738,0.04112324615615403,0.9899749373433583,0.009050360944996404
bitcoin_alpha,guardian,0.8484570991735995,0.00867264963695883,0.0,0.0,0.45838323353293414,0.0,0.0,0.0,1.0,0.0,0.14881086337297408,0.013447201283672225,-0.004865200750851201,0.013447201283672225,0.08697163846882168,2.0655983789216498e-06,0.6273928936380122,0.06518103304097984,0.13762502765714887,2.705737992431982e-07,0.8476115278326096,0.011240508753289944,0.8465169833045479,0.005958479692774045,0.8461774639238563,0.002228179414295079,0.8464639483989861,0.005960538600753565,0.15353605160101383,0.005960538600753565,0.4912280701754386,0.20308485794368816,0.28421052631578947,0.4918021299177285,0.15358902448810668,0.007318413427292779,-8.703963571859985e-05,0.007318413427292779,0.8402993667242372,0.0015533376584032103,0.8403593642017966,0.0014106713561294552,0.15964063579820342,0.0014106713561294552,0.06516290726817044,0.4505432023720486,0.1451736258144586,0.0025098898922197087,0.46867167919799496,0.01875517487104732
bitcoin_alpha,mc_dropout,0.8565378940696297,0.021007226341046938,0.0647990256612377,0.05857226545075595,0.4504949913694709,0.03034226910061887,0.5809352517985601,0.16041175904421626,0.4942878201584669,0.10794882776254544,0.3053486755874389,0.0573490627253474,-0.17548788236354693,0.09442446048189072,0.08542909293190414,0.0038554089606214854,0.18076580892599636,0.05560327357295785,0.13783998214613666,0.00018577216451622514,0.5766548230030266,0.07353417351107733,0.5488773747841106,0.05364040688441963,0.5316753658786203,0.04438719420251553,0.5489518544114257,0.05372293886210017,0.4510481455885742,0.05372293886210017,0.3157894736842105,0.085947008518708,0.8641604010025062,0.07015037146277614,0.25805282944124275,0.04082722709838441,-0.22278372850974307,0.03165439652969318,0.6118595279217041,0.08021423212829525,0.6119557705597787,0.08039044631793209,0.3880442294402213,0.08039044631793209,0.774937343358396,0.19612133359247572,0.40187675016567653,0.13635860242871908,0.24160401002506268,0.8339249412239866
bitcoin_alpha,node2vec_mlp,0.8378561173422687,0.01831908457161633,-0.00836540715618742,0.011830472255053197,0.4677390849719972,0.01323117199267086,0.05515587529976009,0.07800218689347992,0.9371660217431361,0.088860664228713,0.22001959408445845,0.07964413364280704,0.020461827362512636,0.01804103255266837,0.08645561651909102,0.0007237207223798671,0.3169183268613818,0.09593900946513856,0.13774445074608765,0.00017168476311063958,0.7766811422555598,0.09995790856515185,0.7848013816925734,0.08791544921511908,0.7938798485313683,0.07617229734784295,0.7847270214236349,0.08794582773938137,0.2152729785763651,0.08794582773938137,0.6666666666666666,0.19377826345942564,-0.33583959899749366,0.5289334593840723,0.1692900622984397,0.024855475473101223,-0.030267704423506087,0.04799550313688378,0.8451352907311457,0.010095709944402063,0.8450817783920753,0.010099198441272954,0.15491822160792468,0.010099198441272954,0.002506265664160373,0.4132582054019109,0.24321958627603224,0.1313373440439398,-0.22055137844611528,0.8488455042489209
bitcoin_alpha,ours,0.8705763861557182,0.018565113870166804,0.07085236309192325,0.050321334331990326,0.4596779778501123,0.03973457398243954,0.4310551558752989,0.3174866596299006,0.6497143910079234,0.2654483276882398,0.21351664758242186,0.06882364846702468,-0.15795930598308391,0.111619607201902,0.0896377098205338,0.0018916853271906456,0.23230455052749388,0.1499956188143659,0.13748293364805061,0.00014653244244755033,0.721279115673115,0.12677618136790364,0.6847438111686817,0.145326522226178,0.658274485723058,0.1580850961825839,0.6847500575904167,0.14539371150116012,0.31524994240958326,0.14539371150116012,0.2631578947368421,0.22329687826943606,0.7398496240601503,0.3594016421669971,0.21351664758242186,0.06882364846702468,-0.15795930598308391,0.111619607201902,0.6847438111686817,0.145326522226178,0.6847500575904167,0.14539371150116012,0.31524994240958326,0.14539371150116012,0.7398496240601503,0.3594016421669971,0.39122979414611736,0.23015262507350173,0.14235588972431074,0.4894997984684712
bitcoin_alpha,sage,0.8416515314456513,0.015514487537514042,0.04192383649775563,0.04199695332204201,0.2792319807350569,0.18727324615753765,0.7715827338129482,0.3078570736217175,0.263681592039801,0.3540156545137824,0.6763381481478028,0.17147784702978733,0.02349127142032914,0.0888548965535037,0.08881949803326729,0.0030220861721009934,0.45781730622990474,0.1201885377028758,0.1376145199075565,4.805456572075334e-05,0.33241215949467035,0.23375786071805232,0.33598157743235463,0.24532118196427175,0.3372223927950056,0.2545922578889876,0.33609767334715496,0.2454059508592144,0.6639023266528451,0.2454059508592144,0.368421052631579,0.29772917102591473,0.36892230576441093,0.8616478660064306,0.5830371667368867,0.29736897853371247,-0.06980970999058712,0.04098485165274966,0.386873920552677,0.3163393369358601,0.3870076019350379,0.31644864562173974,0.6129923980649621,0.31644864562173974,0.8145363408521301,0.16086867910663366,0.7075125737477812,0.15919644221989643,0.25162907268170426,0.8651809126974002
bitcoin_alpha,trustguard,0.8305183704629927,0.009889767719591762,-0.07836733597266583,0.022012702255765074,0.31633072907791776,0.021414155349419706,0.6264988009592315,0.02004586750275836,0.29076838032061914,0.031101590009289203,0.4458977014330425,0.03749738097356423,-0.2244542425507423,0.013226207798721263,0.07778148053731786,0.0004091268798314194,0.45101549306966177,0.015498931996898826,0.13813556566337035,0.0002027743319453291,0.4113699170943545,0.03589901665286704,0.3766263672999424,0.03301919242251631,0.35277863064169485,0.027015239677567013,0.376410965215388,0.03303060195687097,0.623589034784612,0.03303060195687098,0.10526315789473684,0.042973504259354,0.981453634085213,0.01879532156316054,0.44693258084344284,0.042185089234047936,-0.22341936314034194,0.015919287631626117,0.37305699481865284,0.03472490600860018,0.3730707210320201,0.034825397033537174,0.6269292789679799,0.03482539703353715,0.9789473684210526,0.01740727353803037,0.5097075951920003,0.013025349884638344,0.9699248120300751,0.023425205905860513
